src_ip,src_port,@timestamp,timestamp,hour,day_of_week,date
192.168.1.88,46514.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:54.980Z,10,2,2025-07-30
192.168.1.88,51934.0,2025-07-30 10:54:56.755000+00:00,2025-07-30T10:54:55.014Z,10,2,2025-07-30
192.168.1.88,46478.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.015Z,10,2,2025-07-30
192.168.1.88,46462.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.014Z,10,2,2025-07-30
192.168.1.88,46478.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.014Z,10,2,2025-07-30
192.168.1.88,46450.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.014Z,10,2,2025-07-30
192.168.1.67,57603.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.014Z,10,2,2025-07-30
192.168.1.88,46440.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.013Z,10,2,2025-07-30
192.168.1.67,57606.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.013Z,10,2,2025-07-30
192.168.1.88,60750.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.002Z,10,2,2025-07-30
192.168.1.88,60734.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:45.000Z,10,2,2025-07-30
192.168.1.88,60726.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:44.963Z,10,2,2025-07-30
192.168.1.88,60726.0,2025-07-30 10:54:46.738000+00:00,2025-07-30T10:54:44.958Z,10,2,2025-07-30
192.168.1.88,60696.0,2025-07-30 10:54:41.719000+00:00,2025-07-30T10:54:40.001Z,10,2,2025-07-30
192.168.1.88,60712.0,2025-07-30 10:54:41.719000+00:00,2025-07-30T10:54:39.999Z,10,2,2025-07-30
192.168.1.67,57600.0,2025-07-30 10:54:41.719000+00:00,2025-07-30T10:54:39.987Z,10,2,2025-07-30
192.168.1.12,42078.0,2025-07-30 10:54:41.719000+00:00,2025-07-30T10:54:39.986Z,10,2,2025-07-30
192.168.1.67,57598.0,2025-07-30 10:54:41.719000+00:00,2025-07-30T10:54:39.985Z,10,2,2025-07-30
192.168.1.88,60692.0,2025-07-30 10:54:41.719000+00:00,2025-07-30T10:54:39.972Z,10,2,2025-07-30
192.168.1.88,55032.0,2025-07-30 10:54:31.706000+00:00,2025-07-30T10:54:30.003Z,10,2,2025-07-30
192.168.1.88,55036.0,2025-07-30 10:54:31.706000+00:00,2025-07-30T10:54:29.996Z,10,2,2025-07-30
192.168.1.67,57605.0,2025-07-30 10:54:31.706000+00:00,2025-07-30T10:54:29.991Z,10,2,2025-07-30
192.168.1.67,57599.0,2025-07-30 10:54:31.706000+00:00,2025-07-30T10:54:29.991Z,10,2,2025-07-30
192.168.1.94,59240.0,2025-07-30 10:54:31.706000+00:00,2025-07-30T10:54:29.983Z,10,2,2025-07-30
192.168.1.88,55018.0,2025-07-30 10:54:31.706000+00:00,2025-07-30T10:54:29.977Z,10,2,2025-07-30
192.168.1.12,54144.0,2025-07-30 10:54:31.706000+00:00,2025-07-30T10:54:29.970Z,10,2,2025-07-30
192.168.1.88,54992.0,2025-07-30 10:54:26.692000+00:00,2025-07-30T10:54:25.006Z,10,2,2025-07-30
192.168.1.88,55006.0,2025-07-30 10:54:26.692000+00:00,2025-07-30T10:54:25.005Z,10,2,2025-07-30
192.168.1.88,54992.0,2025-07-30 10:54:26.692000+00:00,2025-07-30T10:54:25.005Z,10,2,2025-07-30
